experiment,sweep_value,alpha,gamma,theoretical_threshold,attacker_latency_ms,honest_latency_ms,pool_size,relative_revenue,relative_revenue_std,relative_revenue_ci95,revenue_gain,revenue_gain_std,revenue_gain_ci95,profitable,attacker_revenue,honest_revenue,orphaned_blocks,trials,blocks
legacy,0.010000,0.010000,0.000000,0.333333,,,,0.000374,0.000066,0.000055,-0.009626,0.000066,0.000055,False,37,98992,971,8,100000
legacy,0.020000,0.020000,0.000000,0.333333,,,,0.001579,0.000220,0.000184,-0.018421,0.000220,0.000184,False,155,97933,1912,8,100000
legacy,0.030000,0.030000,0.000000,0.333333,,,,0.003414,0.000152,0.000127,-0.026586,0.000152,0.000127,False,332,96800,2868,8,100000
legacy,0.040000,0.040000,0.000000,0.333333,,,,0.006076,0.000273,0.000228,-0.033924,0.000273,0.000228,False,585,95722,3693,8,100000
legacy,0.050000,0.050000,0.000000,0.333333,,,,0.009338,0.000493,0.000412,-0.040662,0.000493,0.000412,False,892,94593,4515,8,100000
legacy,0.060000,0.060000,0.000000,0.333333,,,,0.013498,0.000505,0.000422,-0.046502,0.000505,0.000422,False,1277,93346,5376,8,100000
legacy,0.070000,0.070000,0.000000,0.333333,,,,0.018090,0.000679,0.000568,-0.051910,0.000679,0.000568,False,1698,92154,6148,8,100000
legacy,0.080000,0.080000,0.000000,0.333333,,,,0.024045,0.000858,0.000718,-0.055955,0.000858,0.000718,False,2237,90814,6948,8,100000
legacy,0.090000,0.090000,0.000000,0.333333,,,,0.028857,0.000902,0.000754,-0.061143,0.000902,0.000754,False,2664,89642,7694,8,100000
legacy,0.100000,0.100000,0.000000,0.333333,,,,0.035508,0.000879,0.000735,-0.064492,0.000879,0.000735,False,3252,88329,8419,8,100000
legacy,0.110000,0.110000,0.000000,0.333333,,,,0.042375,0.000739,0.000618,-0.067625,0.000739,0.000618,False,3854,87086,9060,8,100000
legacy,0.120000,0.120000,0.000000,0.333333,,,,0.050546,0.000673,0.000563,-0.069454,0.000673,0.000563,False,4556,85579,9865,8,100000
legacy,0.130000,0.130000,0.000000,0.333333,,,,0.058646,0.001091,0.000912,-0.071354,0.001091,0.000912,False,5245,84194,10560,8,100000
legacy,0.140000,0.140000,0.000000,0.333333,,,,0.067262,0.000649,0.000543,-0.072738,0.000649,0.000543,False,5975,82861,11164,8,100000
legacy,0.150000,0.150000,0.000000,0.333333,,,,0.076747,0.000790,0.000661,-0.073253,0.000790,0.000661,False,6767,81401,11832,8,100000
legacy,0.160000,0.160000,0.000000,0.333333,,,,0.085442,0.001985,0.001660,-0.074558,0.001985,0.001660,False,7481,80079,12440,8,100000
legacy,0.170000,0.170000,0.000000,0.333333,,,,0.095810,0.002183,0.001826,-0.074190,0.002183,0.001826,False,8325,78564,13111,8,100000
legacy,0.180000,0.180000,0.000000,0.333333,,,,0.107390,0.001042,0.000871,-0.072610,0.001042,0.000871,False,9263,76993,13744,8,100000
legacy,0.190000,0.190000,0.000000,0.333333,,,,0.118480,0.001333,0.001115,-0.071520,0.001333,0.001115,False,10150,75516,14334,8,100000
legacy,0.200000,0.200000,0.000000,0.333333,,,,0.129046,0.001983,0.001658,-0.070954,0.001983,0.001658,False,10975,74075,14949,8,100000
